id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
GPN-2020-Q2-2020-08-03,3,Remarks,2020-08-03,2,2020,Winnie Smith,Vice President-Investor Relations,"Good morning, and welcome to Global Payments second quarter 2020 conference call. Before we begin, I'd like to remind you that some of the comments made by management during today's conference call contain forward-looking statements about expected operating and financial results. These statements are subject to risks, uncertainties and other factors, including the impact of COVID-19 and economic conditions on our future operations that could cause actual results to differ materially from our expectations.",1.1100888,0.599
GPN-2020-Q2-2020-08-03,4,Remarks,2020-08-03,2,2020,Winnie Smith,Vice President-Investor Relations,"Certain risk factors inherent in our business are set forth in filings with the SEC, including our most recent 10-K and subsequent filings. We caution you not to place undue reliance on these statements. Forward-looking statements during this call speak only as of the date of this call, and we undertake no obligation to update them. Some of the comments may refer to non-GAAP financial measures, such as adjusted net revenue, adjusted operating margin and adjusted earnings per share, which we believe are more reflective of our ongoing performance.",1.8293147,0.0
GPN-2020-Q2-2020-08-03,5,Remarks,2020-08-03,2,2020,Winnie Smith,Vice President-Investor Relations,"For a full reconciliation of these and other non-GAAP financial measures to the most comparable GAAP measure in accordance with SEC regulations, please see our press release furnished as an exhibit to our Form 8-K filed this morning and our trended financial highlights, both of which are available in the Investor Relations area of our website at www.globalpaymentsinc.com. The press release and investor presentation on our collaboration with Amazon Web Services announced today are also available on our website. Joining me on the call are Jeff Sloan, CEO; Cameron Bready, President and COO; and Paul Todd, Senior Executive Vice President and CFO.",0.6526015,0.459
GPN-2020-Q2-2020-08-03,7,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Thanks, Winnie. We are pleased with the solid performance we delivered in the second quarter of 2020 despite the pandemic, driven by consistent execution and the outstanding dedication of our team members. We are grateful to all of our nearly 24,000 people worldwide for their exceptional service to our customers during this challenging time.",0.8149466,0.934
GPN-2020-Q2-2020-08-03,8,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"I think the best way to describe the second quarter is that it would have been difficult to imagine in early April that our businesses would perform as well as they did through June. As the markets we serve around the world have reopened, we are encouraged by the improving trends we have realized. Our customer base overall remains healthy and our businesses generated sequential improvement in May over April and in June over May. And several of our businesses delivered absolute growth year-over-year in June with a number achieving record new sales performance.",1.1900356,0.949
GPN-2020-Q2-2020-08-03,9,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,Our business is as strong today as it has ever been and our mix enabled us to perform better than many of our peers as we had expected. We benefited by entering the crisis in extraordinary condition and the timing and quantum of our actions taken early on enabled us to hold operating margins roughly flat to last year this quarter.,0.8921708,0.273
GPN-2020-Q2-2020-08-03,10,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"We also generated strong free cash flow in each month, including April, highlighting the durability and resiliency of our business model. We continue to make substantial progress on our technology-enabled, software driven strategy this quarter, further validating our pure-play payments model and widening our competitive mode.",0.419573,0.923
GPN-2020-Q2-2020-08-03,11,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"We are delighted today to announce a new multi-year go-to-market collaboration with Amazon Web Services or AWS to provide an industry-leading, cloud-based Issuer Processing platform for customers regardless of size, location or processing preference. With AWS as our preferred cloud provider for Issuer services, we will deliver innovative payment solutions at scale globally in a secured cloud-based environment, enabling best-in-class experiences for our Issuer clients and their cardholders.",0.7298932,0.883
GPN-2020-Q2-2020-08-03,12,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Together, we will leapfrog traditional analog means of distribution and redefine how Issuer products and services are sold and consumed in the digital age. Together, we are bringing technologies that generally have been available only to nimble start-ups, to traditional institutions at scale, leveling the playing field for innovation with immense benefits to consumers globally.",0.8309609,0.718
GPN-2020-Q2-2020-08-03,13,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Our unparalleled legacy of reliability, performance and experience, combined with AWS's cloud leadership will future proof our businesses to meet the increasing demands of a connected frictionless digital world. Our transformative alliance will also substantially expand our pool of revenue opportunities.",1.041637,0.636
GPN-2020-Q2-2020-08-03,14,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"First, our collaboration broadens our geographic reach as AWS's worldwide footprint reaches nearly every corner of the globe. No longer will we be limited to geographies where we have a TSYS physical data center location for Issuer services. Delivering our capabilities via Software-as-a-Service or SaaS means that we can build, test and scale in more markets more quickly than before.",0.4391459,-0.422
GPN-2020-Q2-2020-08-03,15,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Second, we will meaningfully expand our prospective customer base to include financial institutions of all sizes, new market entrants and retailers. Historically, TSYS Issuer business was bifurcated into a large bank business in North America and Western Europe, primarily served through TS2 and an on-premise license business served through Prime everywhere else.",1.0565836,0.318
GPN-2020-Q2-2020-08-03,16,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Truth be told, our distribution resources were not proactively targeting small to mid-sized banks in the United States, new financial technology entrants and embedded payment service providers, and we have needed a fully end-to-end cloud native solution set to be successful in many of those markets.",0.3640569,0.881
GPN-2020-Q2-2020-08-03,17,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Now we have a unique opportunity with one of the largest technology companies to disrupt those markets on a differentiated basis. Beyond cloud Availability Zones that span the world, AWS is a global feet on the street sales presence from Amsterdam to Zurich. AWS will work uniquely and closely with our sales team from lead generation and projects scoping all the way through the commercialization and implementation of Issuer solutions.",0.0640569,0.542
GPN-2020-Q2-2020-08-03,18,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"In sum we believe that our target addressable market for Issuer solutions will more than triple, providing ample additional opportunities to grow and build on our track record of capturing market share.",0.5124555,0.671
GPN-2020-Q2-2020-08-03,19,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Third, we will unbundle our services through the use of open APIs and deconstructive micro-services, which will allow us to sell elements of our issuer SaaS solutions via a new business model on an à la carte basis. In addition to dramatically expanding our target addressable market for institutions of all sizes, we will eliminate the need for time-consuming physical conversions and enable customers to quickly and efficiently implement the functionality and services they need and want, while minimizing risk.",2.2551601,0.542
GPN-2020-Q2-2020-08-03,20,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Our collaboration will touch and support every element of the card lifecycle from origination, provisioning, risk management and servicing to billing and ongoing delivery. We will provide end-to-end digital solutions to delight our clients and their cardholders. Delivering platforms that run entire Issuing businesses at scale.",0.1928826,0.735
GPN-2020-Q2-2020-08-03,21,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Fourth, the new platforms cloud-based architecture allows us to capitalize on modern open banking initiatives, giving clients the ability to customize the services they need with greater speed to market and product flexibility. Resources can be scaled-up and down in the cloud, so customers can use just what they need. This means making enhancements will be even more efficient and clients can get to market sooner.",0.3825623,0.893
GPN-2020-Q2-2020-08-03,22,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"We can build, test, deploy and scale specific capabilities quickly to continuously innovate and deliver tailored, frictionless and fully digital experiences pretty much anywhere in the world. And cloud computing means near, real-time redundancy with databases that are replicated across multiple Availability Zones without interruption. Importantly, this infrastructure is software driven, encrypted and auditable.",0.7245552,0.779
GPN-2020-Q2-2020-08-03,23,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Institutions globally are not going to move backwards to legacy mainframe based systems. The digitization of financial services will accelerate catalyzed by the pandemic. Issuers will increasingly move toward newer cloud native technologies over time that leverage the talent base prevalent in todays market, increasing resilience and compliance, in light of the regulatory requirements in the marketplace now and in the future.",0.0462633,0.422
GPN-2020-Q2-2020-08-03,24,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"And for customer's cardholders, a cloud based issuing environment will provide the user experience consumers now demand, that means reliable, connected services across any channel available when, where and how consumers choose. It means increased cardholder engagement, support for emerging payment options and cloud-enabled resiliency to meet always on expectations.",0.8572954,0.743
GPN-2020-Q2-2020-08-03,25,Remarks,2020-08-03,2,2020,Jeffrey Steven Sloan,Chief Executive Officer & Director,"Fifth and finally, with a lengthy track record of forging industry-leading partnerships and cross-selling across all aspects of our business. Together with Amazon, we will look to capitalize on opportunities for collaboration across all of our businesses that we expect to generate substantial revenue over time. We expect areas for exploration to include our unified commerce platform and transaction optimization across our merchant businesses, and digital consumer experiences with NetSpend.",0.2135231,0.881
